,record_label_id,record_label_name,record_label_picture,date
60,14542,Glasgow Underground,https://geo-media.beatport.com/image_size/500x500/97a39580-04f8-4253-8131-e9aba943fc88.jpg,2023-11-16
61,15781,Hot Creations,https://geo-media.beatport.com/image_size/500x500/2df48a87-f047-481c-bc97-143b28d8f3ac.jpg,2023-11-16
63,82775,The Vault,https://geo-media.beatport.com/image_size/500x500/13aa1a51-5675-43f7-9841-a7d5fcebe2b8.jpg,2023-11-16
64,63287,Soulfuric Trax,https://geo-media.beatport.com/image_size/500x500/9fa300d1-bc09-4239-b98d-60b52c4123cc.jpg,2023-11-16
65,106103,Vandit Alternative,https://geo-media.beatport.com/image_size/500x500/1ddd456a-2ef8-4e7b-b819-ab12af79db64.jpg,2023-11-16
66,69788,Mattei & Omich Music,https://geo-media.beatport.com/image_size/500x500/77e5142a-5a2f-4856-9a1a-f9574aa898b2.jpg,2023-11-16
69,103323,Rosebud Recordings,https://geo-media.beatport.com/image_size/500x500/c78b2bfd-30fa-4b9b-85ab-30a200596335.jpg,2023-11-16
70,100863,South,https://geo-media.beatport.com/image_size/500x500/9f49bbc9-cc31-422e-99c3-a7b357aa24a7.jpg,2023-11-16
72,16324,Play It Down,https://geo-media.beatport.com/image_size/500x500/556d3ed8-c963-4341-b325-8079dd348528.jpg,2023-11-16
76,101511,Big Night Records,https://geo-media.beatport.com/image_size/500x500/34ffe97d-98cb-431d-bed8-169f101ef9ba.jpg,2023-11-16
77,2949,MAW Records,https://geo-media.beatport.com/image_size/500x500/1e075adc-6244-4414-bd8b-07bd03c0aa63.jpg,2023-11-16
78,101548,Tartan Records,https://geo-media.beatport.com/image_size/500x500/fcef9741-3f9a-4517-8abf-b44f7bc7cf19.jpg,2023-11-16
80,19324,Astralwerks,https://geo-media.beatport.com/image_size/500x500/1bc85216-781b-47f8-994f-db6eb8fffc97.jpg,2023-11-16
81,907,Ultra,https://geo-media.beatport.com/image_size/500x500/2957b443-c981-43f2-981a-4dc55c4aa8c6.jpg,2023-11-16
83,47384,SEROUS RECORDS,https://geo-media.beatport.com/image_size/500x500/dfb363b8-76cb-4173-8944-849898d5590e.jpg,2023-11-16
84,1726,Ninja Tune,https://geo-media.beatport.com/image_size/500x500/c37cdda9-1e9c-42d8-9c03-69f4b24cc3f4.jpg,2023-11-16
87,60046,UMM (Media Records),https://geo-media.beatport.com/image_size/500x500/fc2bde44-9183-4656-ba4d-8d1886ad0007.jpg,2023-11-16
88,69270,Wh0 Plays,https://geo-media.beatport.com/image_size/500x500/b3c0c9e6-0b9c-4cc3-a307-c45ec34721d9.jpg,2023-11-16
89,45307,Cuttin' Headz,https://geo-media.beatport.com/image_size/500x500/0cb762a9-2e10-40ff-83e2-7ff6f79f46ee.jpg,2023-11-16
90,50747,LTF Records,https://geo-media.beatport.com/image_size/500x500/d2052c5f-c7e1-446c-8d12-111c7dc8efca.jpg,2023-11-16
91,30281,Technicolour,https://geo-media.beatport.com/image_size/500x500/c685f1d9-cc3a-4fe5-854d-7e23a7694570.jpg,2023-11-16
94,17532,Life And Death,https://geo-media.beatport.com/image_size/500x500/63d23b90-ffff-475b-8ae7-85d43ea69df3.jpg,2023-11-16
95,37731,CUFF,https://geo-media.beatport.com/image_size/500x500/073fb111-3960-491a-b10b-0f0c57fffd96.jpg,2023-11-16
98,107916,Paradise,https://geo-media.beatport.com/image_size/500x500/6b1fd3b5-77a5-41d2-9a17-5c55a800d35f.jpg,2023-11-16
